2023-06-25 23:06:45.630 [ForkJoinPool.commonPool-worker-5] INFO  org.dromara.cloudeon.processor.ConfigTask - command task：78 开始, 记录到数据库
2023-06-25 23:06:45.681 [ForkJoinPool.commonPool-worker-5] INFO  org.dromara.cloudeon.processor.ConfigTask - 完成配置文件生成：/Users/ycw/work/ycw/home_lab_shanghai/k8s/couldeon/cloudeon-assembly-v1.0.0-release/work/hdfs1/k8s-master-node1/conf/namenode-bootstrap.sh
2023-06-25 23:06:45.681 [ForkJoinPool.commonPool-worker-5] INFO  org.dromara.cloudeon.processor.ConfigTask - File found: log4j.properties
2023-06-25 23:06:45.682 [ForkJoinPool.commonPool-worker-5] INFO  org.dromara.cloudeon.processor.ConfigTask - 完成配置文件生成：/Users/ycw/work/ycw/home_lab_shanghai/k8s/couldeon/cloudeon-assembly-v1.0.0-release/work/hdfs1/k8s-master-node1/conf/log4j.properties
2023-06-25 23:06:45.682 [ForkJoinPool.commonPool-worker-5] INFO  org.dromara.cloudeon.processor.ConfigTask - File found: dfs.exclude
2023-06-25 23:06:45.682 [ForkJoinPool.commonPool-worker-5] INFO  org.dromara.cloudeon.processor.ConfigTask - 完成配置文件生成：/Users/ycw/work/ycw/home_lab_shanghai/k8s/couldeon/cloudeon-assembly-v1.0.0-release/work/hdfs1/k8s-master-node1/conf/dfs.exclude
2023-06-25 23:06:45.695 [ForkJoinPool.commonPool-worker-5] INFO  org.dromara.cloudeon.processor.ConfigTask - 拷贝本地配置目录：/Users/ycw/work/ycw/home_lab_shanghai/k8s/couldeon/cloudeon-assembly-v1.0.0-release/work/hdfs1/k8s-master-node1/conf 到节点k8s-master-node1的：/opt/edp/hdfs1/conf/
2023-06-25 23:06:45.846 [ForkJoinPool.commonPool-worker-5] INFO  org.dromara.cloudeon.processor.ConfigTask - 成功拷贝本地配置目录：/Users/ycw/work/ycw/home_lab_shanghai/k8s/couldeon/cloudeon-assembly-v1.0.0-release/work/hdfs1/k8s-master-node1/conf 到节点k8s-master-node1的：/opt/edp/hdfs1/conf/
2023-06-25 23:06:45.846 [ForkJoinPool.commonPool-worker-5] INFO  org.dromara.cloudeon.processor.ConfigTask - 赋予conf目录下sh脚本执行权限：chmod +x /opt/edp/hdfs1/conf//*.sh
2023-06-25 23:06:45.879 [ForkJoinPool.commonPool-worker-5] INFO  org.dromara.cloudeon.processor.ConfigTask - command task：78 结束, 记录到数据库
2023-06-25 23:06:45.883 [ForkJoinPool.commonPool-worker-5] INFO  org.dromara.cloudeon.processor.ConfigTask - close sifting Appender of `4-78`
